L_chrImg_Index,R_chrImg_Index,Shadow_Index,talk_name_Index,CGImg_Index,Talk_Index,soundEff_Index,BGM_Index,ShakingEff_Index,wait_Index,fadeIn_Index,fadeOut_Index,fadeIn_quick_Index,fadeOut_quick_Index,RedFlash_Index,whiteFlash_Index
null,null,0,,036.UnderOffice,null,null,07.Ladybug,0,0.1,2,0,FALSE,FALSE,FALSE,FALSE
Zhang01,null,0,미스터 장,null,아이고-. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang01,null,0,미스터 장,null,다들 모이셨답니까. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,2.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang03,null,0,미스터 장,null,본론부터 말씀드리자면. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,2.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang04,null,0,미스터 장,null,함대표를 걸러내야겠지 않습니까들. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang04,null,0,미스터 장,null,우리 거덜나게 생겼어. 안 그렇습니까. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang04,null,0,미스터 장,null,능구렁이 같은 양반이라 빠르고 쉽게 손절보는 각은 안 나오고. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang04,null,0,미스터 장,null,그렇다면 뭐 우리가 쓸 수 있는 손은 다 써봐야지. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang03,suitman,1,박사장,null,바이오칩의 실패로 주가가 떨어지고 있는 건 사실입니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang03,suitman,1,박사장,null,"근데, 그 경한기업을 바로 버리기에는 아깝지 않습니까? ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang03,suitman,1,박사장,null,우리가 퍼나른 돈이 얼마인데요. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang04,suitman,2,미스터 장,null,"그라제, 그라제. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang04,suitman,2,미스터 장,null,"자, 그라믄 우리 박사장님 얘기부터 들어봅시다. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang04,suitman,2,미스터 장,null,우짜 쓰면 좋을지 말 좀 해 봅시다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang03,suitman,1,박사장,null,그러면…함정임 대표를 모함한다든지. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang03,suitman,2,미스터 장,null,그래서? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang04,suitman,1,박사장,null,"교…교도소에 보내고, 경한기업을 삼킨다든지……. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang01,suitman,2,미스터 장,null,뭘 그리 쫄아. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang01,null,0,미스터 장,null,그 정도면 양호한 의견 아니야? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,2.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang01,null,0,미스터 장,null,"자, 질문. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang01,suitman,1,박사장,null,"무, 무슨 질문을 하려 그러나. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang02,null,0,미스터 장,null,아니오 이 양반아. 댁 말고 다른 양반들한테 묻는 거잖아. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang02,null,0,미스터 장,null,눈치라고는 거 콧구멍에 박힌 코딱지 만큼도 없어요. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang02,null,0,미스터 장,null,이래서 사람이 눈치빠르고 센스빠른 인재를 원하는 거야. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang02,null,0,미스터 장,null,근면성실하고 타인의 귀감이 되고 윗사람 변보고 닦아줄 그런 사람. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang01,null,0,미스터 장,null,…이 누군 지 아는 양반 있으시답니까? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang01,mapia,1,백실장,null,…박사장님 아니겠습니까. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang01,mapia,1,백실장,null,함정임 대표랑 그리 절친한 사이인데. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang01,mapia,2,미스터 장,null,박사장님 생각은 어떠신지. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang01,suitman,1,박사장,null,…나…나는……! ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,12.gun-x,null,0,2.1,0,0,FALSE,FALSE,TRUE,FALSE
null,null,0,,null,null,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang02,mapia,2,미스터 장,null,함대표 변 닦던 양반이 지는 아니라는 듯이 꼴값떠는 꼴도 못봐주겠지유. 안 그래요? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang02,mapia,1,백실장,null,"잠깐, 잠깐만! 미스터 장. 내 말좀 들어…..! ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,12.gun-x,null,0,2.1,0,0,FALSE,FALSE,TRUE,FALSE
null,null,0,,null,null,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,12.gun-x,null,0,2.1,0,0,FALSE,FALSE,TRUE,FALSE
Zhang02,null,0,미스터 장,null,사람이 으리가 있어야지. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang02,null,0,미스터 장,null,"그렇지 않습니까. 으리가 있어야 가정이 살아나고, 사회가 일어나고. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang02,null,0,미스터 장,null,함대표 뒷바라지 하다 걸리기만 해 봐요. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang02,null,0,미스터 장,null,대갈빡에 기냥 숨구멍 뚫리는 거여. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang02,null,0,미스터 장,null,아시겠죠? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
