eventID_Index,playType_Index,clueToken_Index,eventTile_Index,currEventID_Index,nextEventID_Index,selectIcon_Index,settingTile_Index,talkScene_Index,duel_Index,reasoning_Index
0,gameStart,0,0,0,1,null,0,sceneID_1,0,null
1,null,0,0,1,2,null,0,null,0,reasoningID_1
2,null,0,0,2,3,null,0,sceneID_2,0,null
3,null,0,0,3,4,null,0,sceneID_4,0,null
4,null,0,0,4,5,null,0,sceneID_5,0,null
5,null,0,0,5,6,null,0,sceneID_6,0,null
6,null,0,0,6,7,PlayerIcon,1,null,0,null
7,tile,0,7,7,8,null,0,sceneID_8,0,null
8,null,0,0,8,9,PlayerIcon,7,null,0,null
9,clueToken,2,9,9,10,null,0,sceneID_10,0,null
10,null,0,0,10,11,null,0,null,1012,null
11,null,0,0,11,12,null,0,sceneID_11,0,null
12,null,0,0,12,13,null,0,sceneID_12,0,null
13,null,0,0,13,14,null,0,sceneID_13,0,null
14,null,0,0,14,15,null,0,sceneID_14,0,null
15,null,0,0,15,16,null,0,sceneID_15,0,null
16,null,0,0,16,17,null,0,sceneID_16,0,null
17,null,0,0,17,18,null,0,sceneID_17,0,null
18,null,0,0,18,19,null,0,sceneID_18,0,null
19,null,0,0,19,20,PlayerIcon,7,null,0,null
20,clueToken,3,1,20,21,null,0,sceneID_20,0,null
21,null,0,0,21,22,null,0,null,1013,null
22,null,0,0,22,23,null,0,sceneID_20(1),0,null
23,null,0,0,23,24,null,0,sceneID_20(2),0,null
24,null,0,0,24,25,null,0,sceneID_21,0,null
25,null,0,0,25,26,null,0,null,0,reasoningID_2
26,null,0,0,26,27,null,0,sceneID_22,0,null
27,null,0,0,27,28,null,0,null,0,reasoningID_3
28,null,0,0,28,29,null,0,sceneID_23,0,null
29,null,0,0,29,30,PlayerIcon,1,null,0,null
30,clueToken,3,1,30,31,null,0,sceneID_25,0,null
31,null,0,0,31,32,null,0,null,0,reasoningID_4
32,null,0,0,32,33,null,0,sceneID_26,0,null
33,null,0,0,33,34,null,0,null,1014,null
34,null,0,0,34,35,null,0,sceneID_27,0,null
35,null,0,0,35,36,null,0,sceneID_28,0,null
36,null,0,0,36,37,null,0,sceneID_beta,0,null
