L_chrImg_Index,R_chrImg_Index,Shadow_Index,talk_name_Index,CGImg_Index,Talk_Index,soundEff_Index,BGM_Index,ShakingEff_Index,wait_Index,fadeIn_Index,fadeOut_Index,fadeIn_quick_Index,fadeOut_quick_Index,RedFlash_Index,whiteFlash_Index
gang01,Young01,1,오소영,City,저기요.,null,05.Heaven_and_Hell_Part_2,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Young01,2,강원진,null,말씀하십시오.,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Young01,1,오소영,null,특종감이 있으면 언제든 제게 연락 한 통 부탁해요.,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Young01,1,오소영,null,사회의 귀감이 되보자는거죠.,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Young01,2,강원진,null,관심 없습니다.,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
