L_chrImg_Index,R_chrImg_Index,Shadow_Index,talk_name_Index,CGImg_Index,Talk_Index,soundEff_Index,BGM_Index,ShakingEff_Index,wait_Index,fadeIn_Index,fadeOut_Index,fadeIn_quick_Index,fadeOut_quick_Index,RedFlash_Index,whiteFlash_Index
gang02,Haam01,1,함정임,City,여느때나 바쁘신 모양입니다. 강원진 경위님?,null,05.Heaven_and_Hell_Part_2,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang02,Haam01,2,강원진,null,덕분에 바쁜 모양입니다.,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang02,Haam01,1,함정임,null,그렇게 말씀하시면 섭섭하답니다.,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang02,Haam01,1,함정임,null,앞으로도 사회를 위해 열심히 일해주시길 바랄게요?,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang02,Haam01,2,강원진,null,…….,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
