eventID_Index,playType_Index,clueToken_Index,eventTile_Index,currEventID_Index,nextEventID_Index,selectIcon_Index,settingTile_Index,talkScene_Index,duel_Index,reasoning_Index
0,gameStart,0,0,0,1,null,0,sceneID_1,0,null
1,null,0,0,1,2,null,0,null,0,reasoningID_1
2,null,0,0,2,3,null,0,sceneID_2,0,null
3,null,0,0,3,4,null,0,sceneID_4,0,null
4,null,0,0,4,5,null,0,sceneID_5,0,null
5,null,0,0,5,6,null,0,sceneID_6,0,null
6,null,0,0,6,7,PlayerIcon,1,null,0,null
7,tile,0,7,7,8,null,0,sceneID_8,0,null
8,null,0,0,8,9,PlayerIcon,1,null,0,null
9,clueToken,2,9,9,10,null,0,sceneID_10,0,null
10,null,0,0,10,11,null,0,null,1012,null
11,null,0,0,11,12,null,0,sceneID_11,0,null
12,null,0,0,12,13,null,0,sceneID_12,0,null
13,null,0,0,13,14,null,0,sceneID_13,0,null
14,null,0,0,14,15,null,0,sceneID_14,0,null
15,null,0,0,15,16,null,0,sceneID_15,0,null
16,null,0,0,16,17,null,0,sceneID_16,0,null
16,null,0,0,17,null,null,0,sceneID_beta,0,null
