L_chrImg_Index,R_chrImg_Index,Shadow_Index,talk_name_Index,CGImg_Index,Talk_Index,soundEff_Index,BGM_Index,ShakingEff_Index,wait_Index,fadeIn_Index,fadeOut_Index,fadeIn_quick_Index,fadeOut_quick_Index,RedFlash_Index,whiteFlash_Index
gang01,police,1,박정우,City,경위님! ,null,05.Heaven_and_Hell_Part_2,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,police,1,박정우,null,집단 구타 사건입니다! ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,police,2,강원진,null,그럼 해결하시는 게 도리라고 봅니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,police,1,박정우,null,저 싸움 못 하시는 거 잘 알잖아요? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,police,2,강원진,null,싸우는 게 아니라 말려야죠. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,police,1,박정우,null,무섭습니다……. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang02,police,2,강원진,null,"…아, 예. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,3.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,mapia,2,강원진,null,전부 서까지 동행해주셔야겠습니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,mapia,1,건달,null,"따질거면 이 녀석한테 따지던가, 왜 우리한테 행패야, 행패는? ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,mapia,2,건달,null,"협조하지 않으신다면, 물리적인 방법을 사용할 수 밖에 없습니다. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,mapia,1,건달,null,머리수는 우리가 더 많아요. 형씨. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
