L_chrImg_Index,R_chrImg_Index,Shadow_Index,talk_name_Index,CGImg_Index,Talk_Index,soundEff_Index,BGM_Index,ShakingEff_Index,wait_Index,fadeIn_Index,fadeOut_Index,fadeIn_quick_Index,fadeOut_quick_Index,RedFlash_Index,whiteFlash_Index
null,null,0,,031.Ruin,null,null,null,0,2.1,0,0,FALSE,FALSE,FALSE,FALSE
gang02,null,0,강원진,null,함정임씨! ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang02,null,0,강원진,null,……. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang02,null,0,강원진,null,……? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,마스터 장,null,"사, 살려줘!",null,07.Ladybug,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,미스터 장,CG04,"이봐, 당신들 니힌테 왜 이래? ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,장사장,null,난 자네의 그 잔인함이 무서웠어. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,장사장,null,"이제 그만 미스터 장, 자네에게서 벗어나고싶네. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,32.Attack2,null,0,1.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,1.1,0,0,FALSE,FALSE,TRUE,FALSE
null,null,0,,null,null,32.Attack2,null,0,1.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,미스터 장,null,"제발, 부탁이야. 살려줘!",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,곽이사,null,"이 지경이 된 건 모두 미스터 장, 자네 탓이라는 걸 알아주게. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,32.Attack2,null,0,1.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,0.1,0,0,FALSE,FALSE,TRUE,FALSE
null,null,0,,null,null,32.Attack2,null,0,1.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,미스터 장,null,어억! ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,2.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,미스터 장,null,…뭐 하는 거야. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,미스터 장,null,진짜 나 한테 왜 이러는 건데!,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,13.SpeakWtihWaltzDance,0,2.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,함정임,null,미스터 장. 대체 이게 무슨 일인 건가요. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,함정임,null,이런 꼴로 계시다니요. 괜찮으신 겁니까? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,1,미스터 장,null,함대표…? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,1,미스터 장,null,나 좀 살려줘……. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,2,함정임,null,미스터 장? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,2,함정임,null,그래서 평소의 행실이 중요한 거랍니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,2,함정임,null,절 죽이겠다고 그렇게 고래고래 소리치시던 미스터 장은 어디에 가셨나요? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,2,함정임,null,"정말이지, 우리의 상황이 이렇게 된 게 무척이나 가슴 아프답니다. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
