L_chrImg_Index,R_chrImg_Index,Shadow_Index,talk_name_Index,CGImg_Index,Talk_Index,soundEff_Index,BGM_Index,ShakingEff_Index,wait_Index,fadeIn_Index,fadeOut_Index,fadeIn_quick_Index,fadeOut_quick_Index,RedFlash_Index,whiteFlash_Index
null,null,0,,City,null,null,05.Heaven_and_Hell_Part_2,0,2.1,2,0,FALSE,FALSE,FALSE,FALSE
gang01,police,1,박정우,null,경위님! ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,police,1,박정우,null,테마파크에서 로봇이 폭발했답니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,police,1,박정우,null,"유력한 용의자가 있는데, CCTV 추적에 난항을 겪고 있다네요. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,police,2,강원진,null,직접 확인해보겠습니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
