L_chrImg_Index,R_chrImg_Index,Shadow_Index,talk_name_Index,CGImg_Index,Talk_Index,soundEff_Index,BGM_Index,ShakingEff_Index,wait_Index,fadeIn_Index,fadeOut_Index,fadeIn_quick_Index,fadeOut_quick_Index,RedFlash_Index,whiteFlash_Index
null,null,0,,034.Cityholl,null,null,null,0,0.1,2,0,FALSE,FALSE,FALSE,FALSE
gang01,Jeon03,1,전민원,null,좀 오해가 있었수. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Jeon03,1,전민원,null,근데 나랑 생각하는 방식이 다른데. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Jeon03,2,강원진,null,"바이오칩의 부작용이 있다는 점과, 과실이 경한기업에 있음을 입증하여, 사건을 검찰에 이관하는 것이 저희 목표입니다. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Jeon03,1,전민원,null,검찰쪽은 이미 함정임과는 한 패 아닌가? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Jeon03,2,강원진,null,전체적으로 물들여진 상태는 아니라고 확인한 바 있습니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Jeon03,2,강원진,null,현재 과반수에 가까운 검사들이 함정임 대표와 결탁한 바 있지만 그 외의 인원은 함정임 대표와 적대적 관계를 유지하고 있습니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Jeon03,1,전민원,null,그냥 당신들 소관에서 해결하면 되는 거 아니오? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Jeon03,2,강원진,null,법적 절차에 한계가 있습니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Jeon01,1,전민원,null,"우선, 댁들 말은 들어볼만했수. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Jeon01,1,전민원,null,"그래도 한 번 지켜볼 생각이우. 우리랑 같은 길을 걸을지, 아니면 함정임 그 놈 손에 놀아날 작정인지, 아니면 그 놈과 한 패가 되는 건지.",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Lee01,Jeon01,2,이지은,null,말로하는 게 좋지 않을까 싶은 생각이 드는데. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Lee01,Jeon02,1,전민원,null,말이 통하는 시대는 끝났수다. ,null,null,0,0.1,0,0,FALSE,TRUE,FALSE,FALSE
Lee01,Jeon02,1,전민원,null,시위가 점점 폭력적으로 변해가는 이유를 모르겠수? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Lee01,Jeon02,1,전민원,null,말로 해서는 들어 처 먹지를 않아서 그렇수다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang03,Jeon02,2,강원진,null,추가적인 사항은 지속적인 연락이 필요하다 생각됩니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang03,Jeon02,2,강원진,null,"저희로써도 전민원씨의 도움이 필요하고, 전민원씨도 저희의 도움이 필요할 것으로 예상됩니다. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Jeon03,null,0,전민원,null,"어찌됐든, 나중 가서 봐야겠수. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Jeon03,null,0,전민원,null,아직 마음이 돌아간 건 아니오. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Jeon03,null,0,전민원,null,어디까지나 다시 생각할 기회를 갖겠다는 말이외다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Jeon01,null,0,전민원,null,실례 많았수. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Jeon01,null,0,전민원,null,다음 번에는 적으로 만나지 않길 바라시우. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,1,이지은,null,"사건이 좀 꼬인 감이 없지 않아 있는데, 어쩌시려고. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,1,이지은,null,"대치동 사무실로 가든, 아니면 계속 상점가를 찾든. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,2,강원진,null,입은 피해가 생각보다 크지 않습니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,2,강원진,null,이대로 조사를 진행하는 게 더욱 좋은 조건일 거라 생각됩니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,1,이지은,null,어련하시겠어. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,0.1,0,2,FALSE,FALSE,FALSE,FALSE
