eventID_Index,playType_Index,clueToken_Index,eventTile_Index,currEventID_Index,nextEventID_Index,selectIcon_Index,settingTile_Index,talkScene_Index,duel_Index,reasoning_Index
0,gameStart,0,0,0,1,null,0,sceneID_1,null,null
1,null,0,0,1,2,null,0,null,null,reasoningID_1
2,null,0,0,2,3,null,0,sceneID_2,null,null
3,null,0,0,3,4,null,0,sceneID_4,null,null
4,null,0,0,4,5,null,0,sceneID_5,null,null
5,null,0,0,5,6,null,0,sceneID_6,null,null
6,null,0,0,6,7,PlayerIcon,1,null,null,null
7,tile,0,7,7,8,null,0,sceneID_8,null,null
8,null,0,0,8,9,PlayerIcon,1,null,null,null
9,clueToken,2,9,9,10,null,0,sceneID_10,null,null
10,null,0,0,10,11,null,0,null,1012,null
11,null,0,0,11,12,null,0,sceneID_11,null,null
12,null,0,0,12,13,null,0,sceneID_12,null,null
13,null,0,0,13,14,null,0,sceneID_13,null,null
14,null,0,0,14,15,null,0,sceneID_14,null,null
15,null,0,0,15,16,null,0,sceneID_15,null,null
16,null,0,0,16,17,null,0,sceneID_16,null,null
17,null,0,0,17,18,null,0,sceneID_17,null,null
18,null,0,0,18,19,null,0,sceneID_18,null,null
19,null,0,0,19,20,PlayerIcon,7,null,null,null
20,clueToken,3,1,20,21,null,0,sceneID_20,null,null
21,null,0,0,21,22,null,0,null,1013,null
22,null,0,0,22,23,null,0,sceneID_20(1),null,null
23,null,0,0,23,24,null,0,sceneID_20(2),null,null
24,null,0,0,24,25,null,0,sceneID_21,null,null
25,null,0,0,25,26,null,0,null,null,reasoningID_2
26,null,0,0,26,27,null,0,sceneID_22,null,null
27,null,0,0,27,28,null,0,null,null,reasoningID_3
28,null,0,0,28,29,null,0,sceneID_23,null,null
29,null,0,0,29,30,PlayerIcon,1,null,null,null
30,clueToken,3,1,30,31,null,0,sceneID_25,null,null
31,null,0,0,31,32,null,0,null,null,reasoningID_4
32,null,0,0,32,33,null,0,sceneID_26,null,null
33,null,0,0,33,34,null,0,null,1014,null
34,null,0,0,34,35,null,0,sceneID_27,null,null
35,null,0,0,35,36,null,0,sceneID_28,null,null
36,null,0,0,36,37,PlayerIcon,1,null,null,null
37,tile,0,7,37,38,null,1,sceneID_29,null,null
38,null,0,0,38,39,null,0,sceneID_30,null,null
39,null,0,0,39,40,null,0,sceneID_31,null,null
40,null,0,0,40,41,null,0,sceneID_32,null,null
41,null,0,0,41,42,null,0,sceneID_33,null,null
42,null,0,0,42,43,null,0,sceneID_34,null,null
43,null,0,0,43,44,null,0,sceneID_35,null,null
44,null,0,0,44,45,PlayerIcon,7,null,null,null
45,clueToken,5,5,45,46,null,0,sceneID_36,null,null
46,null,0,0,46,47,PlayerIcon,5,null,null,null
47,clueToken,5,1,47,48,null,0,sceneID_38,null,null
48,null,0,0,48,49,PlayerIcon,1,null,null,null
49,clueToken,3,3,49,50,null,0,sceneID_40,null,null
50,null,0,0,50,51,null,0,null,null,reasoningID_5
51,null,0,0,51,52,null,0,sceneID_41,null,null
52,null,0,0,52,53,null,0,null,1015,null
53,null,0,0,53,54,null,0,sceneID_42,null,null
54,null,0,0,54,55,null,0,sceneID_43,null,null
55,null,0,0,55,56,PlayerIcon,9,null,null,null
56,tile,0,7,56,57,null,0,sceneID_45,null,null
57,null,0,0,57,58,PlayerIcon,7,null,null,null
58,clueToken,3,6,58,59,null,0,sceneID_47,null,null
59,null,0,0,59,60,null,0,null,null,reasoningID_6
60,null,0,0,60,61,null,0,sceneID_47(2),null,null
61,null,0,0,61,62,null,0,sceneID_48,null,null
62,null,0,0,62,63,null,0,sceneID_49,null,null
63,null,0,0,63,64,null,0,sceneID_50,null,null
64,null,0,0,64,65,null,0,sceneID_51,null,null
65,null,0,0,65,66,null,0,sceneID_52,null,null
66,null,0,0,66,67,null,0,sceneID_53,null,null
67,null,0,0,67,68,null,0,sceneID_54,null,null
68,null,0,0,68,69,PlayerIcon,7,null,null,null
69,clueToken,5,10,69,70,null,0,sceneID_56,null,null
70,null,0,0,70,71,null,0,null,null,reasoningID_7
71,null,0,0,71,72,null,0,sceneID_57,null,null
72,null,0,0,72,73,PlayerIcon,10,null,null,null
