L_chrImg_Index,R_chrImg_Index,Shadow_Index,talk_name_Index,CGImg_Index,Talk_Index,soundEff_Index,BGM_Index,ShakingEff_Index,wait_Index,fadeIn_Index,fadeOut_Index,fadeIn_quick_Index,fadeOut_quick_Index,RedFlash_Index,whiteFlash_Index
null,null,0,,016.Royal,null,null,07.Ladybug,0,2.1,2,0,FALSE,FALSE,FALSE,FALSE
Haam02,Kim01,2,함정임,null,재미있네요. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Haam02,Kim01,2,함정임,null,절 미끼로 저런 장난질을 치는 사람은 태어나서 처음 보는 것같아요. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Haam02,Kim01,2,함정임,null,김비서님? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Haam02,Kim01,1,김비서,null,"예, 대표님. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Haam02,Kim01,2,함정임,null,박우주씨는 평사원으로 알고있답니다. 그렇죠? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Haam02,Kim01,1,김비서,null,"예, 대표님. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Haam02,Kim01,2,함정임,null,"부스럼이 생겨도 좋으니, 사람들을 최대한 많이 모아주시면 고맙겠어요. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Haam02,Kim01,2,함정임,null,언론은 오기자가 있으니 걱정하지 않으셔도 된답니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Haam02,Kim01,2,함정임,null,박우주 사원을. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Haam02,Kim01,2,함정임,null,제 앞으로 끌고오세요. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Haam02,Kim01,2,함정임,null,지금쯤이면 유청장도 절 모르쇠로 일관하려 들겁니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Haam02,Kim01,2,함정임,null,유청장에게 조그마한 선물 하나 준비해주세요. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Haam02,Kim01,2,함정임,null,"딴 생각을 품으면 많이 안타까워한다는 걸, 간접적으로 말씀드려주고싶네요. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Haam02,Kim01,2,함정임,null,아시겠죠? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Haam02,Kim01,1,김비서,null,"예, 대표님. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,2.1,0,2,FALSE,FALSE,FALSE,FALSE
